What do you think about the behavior of Crimson One?,You will be presented with some statements. Please choose your level of agreement with the statements using the options given. ,Here is a reminder of the scenario in case you need it. Please take into account that all the questions will make reference to it:  Crimson One is an Australian construction business that builds residential properties in Australia. The business has around 300 employees. Crimson One has been operating for over ten years and its financial situation is very good. One day Crimson One owners decide to increase their profits and start employing cheaper materials to construct houses in low-income Australian suburbs where it can go unnoticed. The strategy is a success for Crimson One and the business owners decide to stick with it. However several Australian house owners and tenants are eventually impacted by the use of cheap materials and they later find themselves spending money on house maintenance and repairs. ,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,,,,,,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep 2,Bla1,Bla2,Bla3,Iden1,Iden2,Iden3,Iden4,Iden5,Iden6,
,,,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,Dir2Rev,Dir4Rev,Ind2Rev,Ind4Rev,Total Greed,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep 2,Bla1,Bla2,Bla3,Iden1,Iden2,Iden3,Iden4,Iden5,Iden6,Total Id.
I think it is unethical and just downright disgusting. Corporate businesses will do anything to make money and it doesnt matter how it affects the consumer.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,7,7,7,6,7,7,41
I think this is pretty unethical if they are passing off the cheaper materials as he materials they were using before while charging the same prices.,,,7,2,6,2,6,1,6,4,6,6,7,4,48,2,2,6,6,2,1,7,7,1,7,7,7,7,7,7,7,7,42
I think it’s a bad behavior. They are skimping of material which will then lead to problems for the home owner. ,,,7,1,6,1,7,1,7,2,7,7,7,6,54,4,4,4,6,1,1,6,7,1,7,7,7,6,6,6,4,6,35
I had a feeling that using cheaper materials would come back to haunt Crimson One and it looks like I was right.,,,5,3,7,2,7,2,5,3,5,6,6,5,46,2,2,5,5,1,2,7,3,1,7,7,6,6,6,6,6,6,36
"think its a cheap way for them to make money, but unfortunately happens way too often",,,6,2,7,1,6,2,5,1,6,7,6,7,50,3,2,7,6,2,1,4,6,2,5,6,4,5,3,2,4,3,21
I think they decided profits was more important than integrity,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,6,1,7,7,6,7,7,6,5,6,37
"I believe that the practice of using cheaper materials is unethical. If they are knowingly using lower quality materials in certain areas of building order to make a profit, that is wrong. They are not only lowering their standards for profit, they are also misleading potential customers. ",,,7,1,4,2,7,1,6,3,7,6,7,5,49,1,1,5,6,1,1,4,6,1,7,5,7,7,7,7,6,7,41
"It is disgusting behavior, though not unheard of. Profit over the safety of someones home is a pretty gross thing to benefit from.",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,5,4,1,6,1,5,22
I dont like that they did that,,,6,2,6,2,6,2,6,2,6,6,6,6,48,3,3,5,6,2,2,7,4,3,6,6,7,7,7,6,6,6,39
"It is unethical, but savvy",,,5,2,6,2,7,2,6,2,6,6,6,6,48,1,2,6,6,2,2,7,6,1,6,6,4,4,4,5,4,3,24
