Size,Group,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,Score,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep2,Bla1,Bla2,Bla3
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,6,7,6,54,6,7,7,7,6,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,7,6,55,6,7,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,5,7,7,7,6,7,53,6,7,7,7,7,7,7,7,2,7,7
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,6,7,55,7,6,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,7,7,56,2,4,7,6,6,6,7,6,6,6,6
Large,Foreign,6,6,7,6,7,6,7,6,51,7,7,6,6,7,7,7,7,7,7,7
Large,Foreign,7,7,7,1,7,7,7,7,50,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,6,7,55,6,4,7,7,7,7,7,7,7,7,7
Large,Foreign,6,6,6,6,6,6,6,6,48,6,6,6,6,6,6,6,6,6,6,6
Large,Foreign,7,7,7,7,7,7,7,6,55,7,7,3,7,6,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,5,7,54,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,5,5,6,5,6,6,4,4,41,4,4,4,5,4,4,4,5,5,5,5
Large,Foreign,6,6,6,6,7,6,5,6,48,6,7,6,6,6,7,5,5,6,5,6
Large,Foreign,7,6,6,7,7,7,5,6,51,4,4,4,5,7,7,7,6,7,7,7
Large,Foreign,7,7,6,7,7,7,7,7,55,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,6,7,6,7,6,7,53,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,5,5,5,5,5,5,5,5,40,5,6,5,5,5,6,7,7,6,5,6
Large,Foreign,7,7,6,7,7,7,7,7,55,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
Large,Foreign,7,7,7,7,7,7,7,7,56,7,7,7,7,7,7,7,7,7,7,7
