Size,Group,Score
Large,Local,56
Large,Local,48
Large,Local,55
Large,Local,43
Large,Local,48
Large,Local,55
Large,Foreign,56
Large,Foreign,49
Large,Foreign,55
Large,Foreign,52
Large,Foreign,49
Large,Foreign,55
Large,Foreign,56
Large,Foreign,55
Large,Foreign,48
Large,Foreign,56
Large,Foreign,56
Large,Foreign,56
Large,Foreign,43
Large,Foreign,44
Large,Foreign,48
Large,Foreign,46
Large,Foreign,56
Large,Foreign,55
Large,Foreign,45
Large,Foreign,45
Large,Foreign,56
Large,Foreign,54
Large,Foreign,55
Large,Foreign,56
Large,Foreign,56
Large,Foreign,43
Large,Foreign,41
Large,Foreign,52
Large,Foreign,55
Large,Foreign,54
Large,Foreign,50
Large,Foreign,54
Large,Foreign,49
Large,Foreign,48
Large,Foreign,49
Large,Foreign,56
Large,Foreign,56
Large,Foreign,55
Large,Foreign,56
Large,Foreign,42
Large,Foreign,44
Large,Foreign,56
Large,Foreign,46
Large,Foreign,55
Large,Foreign,56
Large,Foreign,56
Large,Foreign,56
Large,Foreign,55
Large,Foreign,56
Large,Foreign,56
Large,Foreign,43
Large,Foreign,56
Large,Foreign,56
Large,Foreign,55
Large,Foreign,56
Large,Foreign,55
Large,Foreign,44
Large,Foreign,54
Large,Foreign,41
Large,Foreign,50
Large,Foreign,52
Large,Foreign,54
Large,Foreign,56
Large,Foreign,49
Large,Foreign,56
Large,Foreign,56
Large,Foreign,54
Large,Foreign,55
Large,Foreign,53
Large,Foreign,56
Large,Foreign,55
Large,Foreign,56
Large,Foreign,51
Large,Foreign,50
Large,Foreign,55
Large,Foreign,48
Large,Foreign,55
Large,Foreign,56
Large,Foreign,56
Large,Foreign,54
Large,Foreign,41
Large,Foreign,48
Large,Foreign,51
Large,Foreign,55
Large,Foreign,56
Large,Foreign,53
Large,Foreign,40
Large,Foreign,55
Large,Foreign,56
Large,Foreign,56
Large,Foreign,54
Large,Foreign,49
Large,Foreign,55
Large,Foreign,46
Large,Foreign,50
Large,Foreign,49
Large,Foreign,56
Large,Foreign,56
Large,Foreign,55
Large,Foreign,54
Large,Foreign,56
Large,Foreign,54
Large,Foreign,56
Large,Foreign,45
Large,Foreign,56
Large,Foreign,53
Large,Foreign,56
Large,Foreign,56
Large,Foreign,47
Large,Foreign,53
Large,Foreign,56
Large,Foreign,53
Large,Foreign,54
Large,Foreign,50
Large,Foreign,44
Large,Foreign,51
Large,Foreign,56
Large,Foreign,56
Large,Foreign,56
Large,Foreign,49
Large,Foreign,56
Large,Foreign,56
