What do you think about the behavior of Crimson One?,You will be presented with some statements. Please choose your level of agreement with the statements using the options given. ,Here is a reminder of the scenario in case you need it. Please take into account that all the questions will make reference to it:   Crimson One is an American construction business that builds residential properties in the USA. The business has around 300 employees. Crimson One has been operating for over ten years and its financial situation is very good. One day Crimson One owners decide to increase their profits and start employing cheaper materials to construct houses in low-income suburbs where it can go unnoticed. Employing cheap materials goes against the standards that almost every USA company in the same industry follow but Crimson One owners don’t mind. The strategy is a success for Crimson One and the business owners decide to stick with it. However many American homeowners and tenants are eventually impacted by the use of cheap materials and they later find themselves spending money on house maintenance and repairs. ,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,,,,,,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep 2,Bla1,Bla2,Bla3
,,,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,Dir2Rev,Dir4Rev,Ind2Rev,Ind4Rev,Total G,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep 2,Bla1,Bla2,Bla3
greedy and immoral,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
Seems unethical,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
It's reprehensible but sadly common under capitalism. Companies are out to make a profit and not to contribute to society.,,,7,2,6,2,6,2,6,2,6,6,6,6,49,1,1,7,6,1,2,7,6,1,7,7
I think it is unethical to use cheaper materials. They already are building these homes in low income neighborhoods so they know right away that these people will not be able to afford the repairs to their homes when these cheaper materials degrade. It is saddening and also angering that a company would do this. ,,,7,1,7,1,7,1,6,1,7,7,7,7,55,1,2,7,7,1,1,6,7,1,7,7
I disagree with their behavior and think it is unethical. I never agree with going cheap or cutting corners when it comes to a business. ,,,6,2,5,2,6,2,3,3,6,6,6,5,43,4,4,4,5,3,4,5,5,2,7,6
It is disgusting to hear them profiting off of bad quality construction.,,,7,1,7,1,7,1,7,2,7,7,7,6,55,2,2,6,7,1,1,7,7,1,7,7
It is fine if the savings are passed to the purchasers and Crimson One is not misleading about the quality.,,,5,3,5,3,5,2,3,2,5,5,6,6,40,2,2,5,6,2,4,5,5,4,6,4
"Like many other companies, they use cheap materials to save money for the investors and owners and don't care about anything but the bottom line. ",,,7,1,6,1,6,1,6,1,7,7,7,7,53,1,1,7,7,1,1,6,6,1,7,7
This is an example of what all of us encounter every day.   People do not matter to corporations yet they break the backs of the people who produce it.    Profit is all they look at and do not care who got it for them.,,,7,1,7,1,7,1,6,1,7,7,7,7,55,1,1,7,7,1,1,7,7,1,7,7
I think it is short-term thinking and not really ethical. It is not following industry standards and now consumers are paying the price with higher maintenance costs. It is likely that Crimson One's reputation will suffer and that long-term profitability will suffer.,,,6,2,6,2,6,2,2,5,6,6,6,3,41,2,2,5,5,1,1,6,6,1,7,7
I don't think they are a morally good company.,,,7,1,6,1,7,1,7,1,7,7,7,7,55,1,1,5,7,1,1,7,5,1,7,7
I think that it is immoral and a terrible practice. I think something should be done to stop them.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,5,7,1,1,7,7,1,7,7
"It's the very stereotype of reprehensible corporate behavior.  They'll enjoy increased profits short-term but hopefully the market will realize what they have done eventually and their reputation will suffer to the point that they cease to be profitable, or their victims will litigate them into bankruptcy.",,,7,1,6,1,7,1,7,1,7,7,7,7,55,2,2,7,7,1,1,7,7,1,7,7
It's deplorable.  It caused a lot of problems for their customers and was totally unethical.,,,7,1,6,1,7,1,6,2,7,7,7,6,53,2,2,7,6,1,2,7,6,1,7,6
I think it is very poor behavior that should  be punished. ,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
It's unethical and possibly illegal.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,4,4,6,7,1,1,7,7,1,7,7
"I think that it is ethically and morally unsound to be deliberately constructing buildings that will prove to have problems and to be detrimental in the end.  I know that the temptation is to always go for what is going to make the biggest profit, but there needs to be a balance and something that is acceptable.",,,6,1,6,1,7,1,6,1,7,7,7,7,53,2,3,6,6,1,2,7,7,1,7,7
"In the end doing poor work will be detrimental to Crimson One's reputation. It may be a short term gain, but will lead to long term negative outcomes.",,,6,2,6,2,6,1,3,2,6,6,7,6,46,4,4,5,6,2,2,6,5,1,7,6
I think they are disgracefull.  People thought thy were buying well constructed houses and they wound up with inferior homes which cost them money for repairs.,,,7,1,7,1,7,1,5,1,7,7,7,7,54,1,1,7,7,1,1,7,7,1,7,7
I think it is morally wrong and unethical,,,7,1,7,1,7,1,6,1,7,7,7,7,55,1,1,7,7,1,1,7,7,1,7,7
They are immoral. They're greedy. I don't think they are to be trusted. I find their behavior to be disgusting.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
I think ultimately the company cares more about making money than its customers and providing safe living conditions.  It's incredibly selfish and seems like the company only cares about themselves. They are also going against industry's standards.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
I think they are robbing the people who have hired them and expect a quality home.,,,7,1,6,2,7,1,3,2,7,6,7,6,49,1,1,6,6,1,1,7,7,1,1,6
"I think its acceptable. Afterall we decided capitalism is the best economy to have, and all they are really doing is following a capitalist strategy.",,,7,1,7,1,7,1,4,1,7,7,7,7,53,1,1,7,7,1,1,7,7,1,7,7
It's irresponsible of Crimson One to use cheaper materials. The use of cheaper materials might lead to a profit in the near-term. But in the long run it will lead to a bad situation for the communities they're supposed to be serving.,,,6,3,6,2,7,2,6,2,5,6,6,6,48,1,1,6,5,1,1,7,7,1,7,7
I think it was very unethical. They caused financial harm to people who couldn't afford it simply to increase their profits when they were already profitable.,,,7,1,6,1,7,1,6,1,7,7,7,7,54,2,2,6,7,1,2,6,7,1,7,7
"The behavior is unethical and it will likely catch up with them. If it gets out that they use cheap materials which in turn makes the homeowner pay for costly repairs, the word will get out and it will likely hurt their business prospects.",,,7,1,6,1,6,1,5,2,7,7,7,6,51,4,4,6,6,2,2,5,5,1,7,6
"The behavior of Crimson One is unethical, as it leads to increased maintenance and repair expenses.",,,7,1,7,1,7,1,6,2,7,7,7,6,54,3,3,2,5,5,3,3,5,2,5,6
"unethical, they should be fined heavily and sued by the homeowners. the homeowners should get enough money to rebuild their homes with industry standard materials from another home. those who make decisions should be arrested and fined individually as well.",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
"I think it is disgusting that they would target marginalized communities, and they deserve to be punished.",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,6,1,7,7
It is unethical and wrong,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
"It is greedy and unethical, but it also does not surprise me that a company is cutting corners for profits.",,,7,1,6,2,7,1,3,1,7,6,7,7,50,1,4,6,6,1,2,7,7,1,7,6
I believe it is a terrible business practice.  They are intentionally harming their clients.,,,6,2,7,1,7,1,5,1,6,7,7,7,52,2,2,6,6,1,2,6,6,1,7,7
"It's shady, and if I found out I would not use them. it could taint their name and decrease profits in the long term when people found out and refuse to use them.",,,7,1,7,1,7,1,6,1,7,7,7,7,55,1,1,1,6,2,5,6,6,2,2,7
unethical but typical,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
"I think the behavior of Crimson One is very immoral, they put profit before the wellbeing of American homeowners, I think they are greedy and should be held accountable for their actions.",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
It is very questionable.,,,6,2,4,1,5,6,2,1,6,7,2,7,39,2,1,4,6,2,1,6,6,1,7,6
"I think it's corrupt, and their reputation will suffer.",,,7,1,7,1,7,1,6,2,7,7,7,6,54,1,1,7,7,1,1,7,7,1,7,7
"I'd prefer that Crimson One take a more moderate approach and buy materials that have a dependable life. At the same time, I can understand how a construction company can be concerned with affordability issues. ",,,3,4,5,5,5,4,3,4,4,3,4,4,31,4,4,3,3,4,3,5,5,3,4,3
Not good behavior and dishonest.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
very sad,,,6,6,7,6,6,7,6,7,2,2,1,1,31,6,7,6,7,6,7,6,7,6,7,6
I don't like it.,,,6,2,6,2,6,1,6,2,6,6,7,6,49,2,2,6,6,1,2,6,7,1,6,7
"It was despicable, because then you put people's lives at risk by building with shoddy materials.",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
They value profits too much.,,,7,1,7,1,7,1,4,1,7,7,7,7,53,1,1,7,7,1,1,7,7,1,7,7
I think Crimson One is trying to cut corners by using cheap material to build houses.,,,5,2,6,2,7,2,5,1,6,6,6,7,48,1,1,6,7,1,1,7,7,1,6,7
