Size,Group,Score
Large,Local,7
Large,Local,6.875
Large,Local,6.25
Large,Local,7
Large,Local,6.5
Large,Local,7
Large,Local,7
Large,Local,7
Large,Local,6.875
Large,Local,6.5
Large,Local,7
Large,Local,5.625
Large,Local,6.875
Large,Local,5.75
Large,Local,6.375
Large,Local,6
Large,Local,6.375
Large,Local,7
Large,Local,6.375
Large,Local,6.75
Large,Local,6.5
Large,Local,6.875
Large,Local,7
Large,Local,7
Large,Local,5
Large,Local,6.5
Large,Local,6.625
Large,Local,6.875
Large,Local,6.625
Large,Local,7
Large,Local,5.875
Large,Local,7
Large,Local,5.375
Large,Local,6.5
Large,Local,5.125
Large,Local,7
Large,Local,6.375
Large,Local,6.75
Large,Local,7
Large,Local,6.875
Large,Local,6.5
Large,Local,5.75
Large,Local,7
Large,Local,7
Large,Local,6.625
Large,Local,7
Large,Local,7
Large,Local,5.375
Large,Local,5.75
Large,Local,6.125
Large,Local,7
Large,Local,5.625
Large,Local,6.125
Large,Local,6.875
Large,Local,6.125
Large,Local,7
Large,Local,6.375
Large,Local,7
Large,Local,6
Large,Local,6.875
Large,Local,5.375
Large,Local,6
Large,Local,6.875
Large,Foreign,7
Large,Foreign,6.125
Large,Foreign,6.875
Large,Foreign,6.5
Large,Foreign,6.125
Large,Foreign,6.875
Large,Foreign,7
Large,Foreign,6.875
Large,Foreign,6
Large,Foreign,7
Large,Foreign,7
Large,Foreign,7
Large,Foreign,5.375
Large,Foreign,5.5
Large,Foreign,6
Large,Foreign,5.75
Large,Foreign,7
Large,Foreign,6.875
Large,Foreign,5.625
Large,Foreign,5.625
Large,Foreign,7
Large,Foreign,6.75
Large,Foreign,6.875
Large,Foreign,7
Large,Foreign,7
Large,Foreign,5.375
Large,Foreign,5.125
Large,Foreign,6.5
Large,Foreign,6.875
Large,Foreign,6.75
Large,Foreign,6.25
Large,Foreign,6.75
Large,Foreign,6.125
Large,Foreign,6
Large,Foreign,6.125
Large,Foreign,7
Large,Foreign,7
Large,Foreign,6.875
Large,Foreign,7
Large,Foreign,5.25
Large,Foreign,5.5
Large,Foreign,7
Large,Foreign,5.75
Large,Foreign,6.875
Large,Foreign,7
Large,Foreign,7
Large,Foreign,7
Large,Foreign,6.875
Large,Foreign,7
Large,Foreign,7
Large,Foreign,5.375
Large,Foreign,7
Large,Foreign,7
Large,Foreign,6.875
Large,Foreign,7
Large,Foreign,6.875
Large,Foreign,5.5
Large,Foreign,6.75
Large,Foreign,5.125
Large,Foreign,6.25
Large,Foreign,6.5
Large,Foreign,6.75
Large,Foreign,7
Large,Foreign,6.125
Large,Foreign,7
Large,Foreign,7
Large,Foreign,6.75
Large,Foreign,6.875
Large,Foreign,6.625
Large,Foreign,7
Large,Foreign,6.875
Large,Foreign,7
Large,Foreign,6.375
Large,Foreign,6.25
Large,Foreign,6.875
Large,Foreign,6
Large,Foreign,6.875
Large,Foreign,7
Large,Foreign,7
Large,Foreign,6.75
Large,Foreign,5.125
Large,Foreign,6
Large,Foreign,6.375
Large,Foreign,6.875
Large,Foreign,7
Large,Foreign,6.625
Large,Foreign,5
Large,Foreign,6.875
Large,Foreign,7
Large,Foreign,7
Large,Foreign,6.75
Large,Foreign,6.125
Large,Foreign,6.875
Large,Foreign,5.75
Large,Foreign,6.25
Large,Foreign,6.125
Large,Foreign,7
Large,Foreign,7
Large,Foreign,6.875
Large,Foreign,6.75
Large,Foreign,7
Large,Foreign,6.75
Large,Foreign,7
Large,Foreign,5.625
Large,Foreign,7
Large,Foreign,6.625
Large,Foreign,7
Large,Foreign,7
Large,Foreign,5.875
Large,Foreign,6.625
Large,Foreign,7
Large,Foreign,6.625
Large,Foreign,6.75
Large,Foreign,6.25
Large,Foreign,5.5
Large,Foreign,6.375
Large,Foreign,7
Large,Foreign,7
Large,Foreign,7
Large,Foreign,6.125
Large,Foreign,7
Large,Foreign,7
