Size,Group,Greed_Total,Equality,Need,Equity,Deprivation,Blame,Greed
Small,Local,53,6.5,6.5,7,7,7,6.625
Small,Local,52,5,7,7,6.5,7,6.5
Small,Local,54,7,6,6.5,6.5,6.666666667,6.75
Small,Local,48,7,6.5,7,7,7,6
Small,Local,53,7,7,7,7,7,6.625
Small,Local,35,4,7,3,3,6,4.375
Small,Local,48,6,6,6,6.5,6,6
Small,Local,56,4.5,7,7,7,7,7
Small,Local,55,7,7,7,7,7,6.875
Small,Local,50,4.5,6.5,6,6,6.666666667,6.25
Small,Local,48,6.5,3.5,6,4,3.333333333,6
Small,Local,51,5.5,4,7,7,7,6.375
Small,Local,52,7,7,7,7,6,6.5
Small,Local,41,4,5,5.5,6,6.333333333,5.125
Small,Local,47,6,6,6.5,6.5,7,5.875
Small,Local,47,6,6,7,6,7,5.875
Small,Local,45,5,6,6,6.5,5.666666667,5.625
Small,Local,48,6,5,6.5,6,6.666666667,6
Small,Local,47,7,7,6.5,6.5,7,5.875
Small,Local,49,5.5,6,4,7,7,6.125
Small,Local,55,7,7,7,7,7,6.875
Small,Local,43,5,5.5,6,3,3.333333333,5.375
Small,Local,48,4,7,7,7,7,6
Small,Local,47,5,4.5,5.5,6,5.666666667,5.875
Small,Local,55,7,7,7,7,7,6.875
Small,Local,53,7,6.5,7,5,6.666666667,6.625
Small,Local,53,6.5,6,7,6.5,7,6.625
Small,Local,42,7,4.5,7,6.5,4.666666667,5.25
Small,Local,51,6,6.5,6,5.5,7,6.375
Small,Local,40,5.5,5,6,5,5.666666667,5
Small,Local,48,5.5,6,7,7,7,6
Small,Local,50,7,6.5,6.5,7,7,6.25
Small,Local,49,6.5,6,6,7,6.666666667,6.125
Small,Local,50,7,7,7,7,7,6.25
Small,Local,47,6,4,6.5,6,6.666666667,5.875
Small,Local,51,7,6.5,7,7,6.666666667,6.375
Small,Local,50,7,7,7,7,7,6.25
Small,Local,50,6.5,6,7,6.5,6.666666667,6.25
Small,Local,46,7,5,6.5,7,7,5.75
Small,Local,33,5.5,4.5,5,6,4.666666667,4.125
Small,Local,50,6.5,6,6.5,7,7,6.25
Small,Local,54,7,7,7,7,7,6.75
Small,Local,55,7,6.5,7,6,7,6.875
Small,Local,46,4,6,7,7,7,5.75
Small,Local,41,4.5,5.5,6,5.5,5.333333333,5.125
Small,Local,41,7,4.5,6.5,7,6.333333333,5.125
Small,Local,49,6,5,6.5,6.5,7,6.125
Small,Local,44,6.5,6,5.5,7,6.333333333,5.5
Small,Local,47,5,2.5,3,4.5,3.333333333,5.875
Small,Local,54,7,7,7,7,7,6.75
Small,Local,50,6,4.5,6,6,5.333333333,6.25
Small,Local,55,7,6.5,7,5.5,6,6.875
Small,Local,49,5,6,7,5.5,7,6.125
Small,Local,45,6,2.5,5,3,4.333333333,5.625
Small,Local,53,5.5,6.5,6.5,5.5,6,6.625
Small,Local,55,7,6.5,7,6.5,7,6.875
Small,Local,54,7,7,7,6.5,7,6.75
Small,Local,45,5.5,5,4,5,5.333333333,5.625
Small,Local,51,6.5,5.5,7,6,7,6.375
Small,Local,56,7,7,7,7,7,7
Small,Local,49,5.5,5,5.5,5.5,6,6.125
Small,Local,51,7,6,6.5,6,6.333333333,6.375
Small,Local,42,2,6,6,6,6,5.25
Small,Local,56,7,7,7,7,7,7
Small,Local,41,4,3.5,5.5,5,7,5.125
Small,Local,51,4,6.5,6,6.5,6.333333333,6.375
Small,Local,44,6,4,6,6.5,7,5.5
Small,Local,52,5,7,6.5,6,6.666666667,6.5
Small,Local,55,7,7,7,7,7,6.875
Small,Local,48,7,7,7,7,7,6
Small,Local,55,7,7,7,7,7,6.875
Small,Foreign,55,7,6,7,7,6.666666667,6.875
Small,Foreign,55,7,7,7,7,7,6.875
